,Ticker,Opening Price,Closing Price,Date
0,MRC,17.34,15.29,2017-06-23
1,MRC,10.08,8.94,2016-02-12
2,MRC,12.78,11.38,2016-01-08
3,MRC,12.84,11.35,2015-08-21
4,MRC,14.98,13.22,2015-07-24
5,MRC,13.91,12.34,2015-01-16
6,MRC,17.02,14.17,2014-12-12
7,MRC,20.05,17.16,2014-12-05
8,MRC,29.4,25.01,2014-02-21
9,MRC,27.14,24.17,2013-08-02
10,MRC,33.15,28.39,2013-05-31
11,NVG,11.0,9.83,2008-12-05
12,NVG,11.17,9.97,2008-11-21
13,NVG,10.8,8.35,2008-10-10
14,TDY,36.97,29.49,2009-01-23
15,TDY,41.6,37.38,2009-01-16
16,TDY,53.0,42.8,2008-10-10
17,TDY,30.55,27.2,2005-04-15
18,TDY,14.95,13.36,2003-01-24
19,TDY,17.6,15.35,2002-10-11
20,TDY,16.75,14.91,2002-07-19
21,TDY,16.76,14.61,2001-06-22
22,TDY,20.12,14.3,2001-02-23
23,TDY,23.25,18.44,2001-01-05
24,TDY,22.56,19.94,2000-12-22
25,TDY,24.5,19.75,2000-12-01
26,TDY,26.5,23.75,2000-11-10
27,TDY,28.13,23.0,2000-10-27
28,TDY,29.0,23.44,2000-10-06
29,TDY,28.88,25.56,2000-09-22
30,TDY,20.0,15.25,2000-08-04
31,TDY,17.5,13.88,2000-05-19
32,TDY,16.44,13.88,2000-04-14
33,OLP,26.13,23.35,2013-06-07
34,OLP,16.29,14.49,2010-07-02
35,OLP,16.83,14.72,2010-05-21
36,OLP,16.97,15.15,2010-05-07
37,OLP,6.57,5.83,2009-06-12
38,OLP,4.36,3.77,2009-04-17
39,OLP,3.48,3.1,2009-03-20
40,OLP,3.87,2.91,2009-02-27
41,OLP,5.05,3.75,2009-02-20
42,OLP,7.53,6.67,2009-01-23
43,OLP,9.52,7.49,2009-01-16
44,OLP,9.5,7.05,2008-12-12
45,OLP,9.61,7.91,2008-11-21
46,OLP,11.76,10.45,2008-11-07
47,OLP,12.03,10.67,2008-10-24
48,OLP,15.83,10.03,2008-10-10
49,OLP,21.77,19.48,2007-07-27
50,ETH,32.35,29.0,2017-01-27
51,ETH,32.01,27.22,2015-01-30
52,ETH,30.85,27.53,2014-01-10
53,ETH,31.41,28.23,2013-06-21
54,ETH,27.18,24.06,2012-12-14
55,ETH,22.28,18.11,2012-06-22
56,ETH,15.43,13.82,2011-09-23
57,ETH,16.95,14.5,2011-08-19
58,ETH,23.47,19.9,2011-06-03
59,ETH,18.43,15.48,2010-10-22
60,ETH,15.52,13.91,2010-08-13
61,ETH,16.06,13.58,2010-07-02
62,ETH,19.95,17.81,2010-06-04
63,ETH,25.05,20.2,2010-04-30
64,ETH,15.62,12.46,2009-10-30
65,ETH,15.87,13.6,2009-09-04
66,ETH,12.22,10.94,2009-06-19
67,ETH,13.0,9.96,2009-05-15
